,ensembl_gene_id,ensembl_gene_id_version,ensembl_peptide_id,ensembl_peptide_id_version,description,chromosome_name,start_position,end_position,strand,band,external_gene_name,external_gene_source,percentage_gene_gc_content,gene_biotype,source,version,peptide_version,external_synonym,phenotype_description,source_name,p_value,MONDO_match,MONDO_ClassID,MONDO_synonims
0,ENSG00000113384,ENSG00000113384.14,ENSP00000265070,ENSP00000265070.6,golgi phosphoprotein 3 [Source:HGNC Symbol;Acc:HGNC:15452],5,32124716,32174319,-1,p13.3,GOLPH3,HGNC Symbol,41.09,protein_coding,ensembl_havana,14,6.0,GOPP1,Endometrial Endometrioid Adenocarcinoma,Cancer Gene Census,,True,http://purl.obolibrary.org/obo/MONDO_0005461,"['endometrial endometrioid adenocarcinoma', 'endometrioid carcinoma of endometrium', 'adenocarcinoma of the endometrium', 'endometrioid adenomas and carcinomas (morphologic abnormality)', 'adenocarcinoma, endometrial, malignant', 'endometrioid adenoma or carcinoma', 'endometrium adenocarcinoma', 'endometrioid adenomas and carcinomas', 'endometrioid adenoma or carcinoma NOS (morphologic abnormality)', 'adenocarcinoma of endometrium', 'adenocarcinoma of uterus', 'endometrial adenocarcinoma', 'endometrial adenoacanthoma', 'endometrial endometrioid adenocarcinoma with squamous differentiation', 'endometrium adenocarcinoma']"
1,ENSG00000113384,ENSG00000113384.14,ENSP00000265070,ENSP00000265070.6,golgi phosphoprotein 3 [Source:HGNC Symbol;Acc:HGNC:15452],5,32124716,32174319,-1,p13.3,GOLPH3,HGNC Symbol,41.09,protein_coding,ensembl_havana,14,6.0,GOPP1,Hepatobiliary Neoplasm,Cancer Gene Census,,True,http://purl.obolibrary.org/obo/MONDO_0002514,"['hepatobiliary benign neoplasm', 'hepatobiliary tumors', 'hepatic and biliary tumours', 'hepatic and biliary tumors', 'hepato-biliary tumour', 'hepatobiliary tumours', 'hepatic and biliary neoplasms', 'hepatobiliary system neoplasm (disease)', 'tumour of hepatobiliary system', 'hepato-biliary tumor', 'hepatic, biliary, and gallbladder neoplasms', 'tumor of hepatobiliary system', 'liver and biliary neoplasm', 'hepatobiliary tumor', 'hepatobiliary neoplasm', 'hepatobiliary system tumor', 'hepato-biliary neoplasm', 'neoplasm of hepatobiliary system', 'hepatobiliary tumour', 'hepatobiliary system tumour', 'hepatobiliary system neoplasm', 'liver and biliary system neoplasm', 'hepatobiliary neoplasm']"
2,ENSG00000113384,ENSG00000113384.14,ENSP00000265070,ENSP00000265070.6,golgi phosphoprotein 3 [Source:HGNC Symbol;Acc:HGNC:15452],5,32124716,32174319,-1,p13.3,GOLPH3,HGNC Symbol,41.09,protein_coding,ensembl_havana,14,6.0,GOPP1,ND,Cancer Gene Census,,True,http://purl.obolibrary.org/obo/MONDO_0010691,"['NDP', 'nd', 'Norrie syndrome', 'pseudoglioma', 'Norrie-Warburg syndrome', 'fetal iritis syndrome', 'foetal iritis syndrome', 'Anderson-Warburg syndrome', 'ND', 'Norrie disease', 'Norrie-Warburg disease', 'atrophia bulborum hereditaria', 'Episkopi blindness', 'Norrie disease, X-linked recessive', 'Norrie disease']"
3,ENSG00000113384,ENSG00000113384.14,ENSP00000265070,ENSP00000265070.6,golgi phosphoprotein 3 [Source:HGNC Symbol;Acc:HGNC:15452],5,32124716,32174319,-1,p13.3,GOLPH3,HGNC Symbol,41.09,protein_coding,ensembl_havana,14,6.0,GOPP1,Ovarian Endometrioid Adenocarcinoma with Squamous Differentiation,Cancer Gene Census,,True,http://purl.obolibrary.org/obo/MONDO_0006336,"['ovarian adenoacanthoma', 'ovarian adenosquamous carcinoma', 'ovarian endometrioid adenocarcinoma with squamous differentiation', 'ovarian endometrioid adenocarcinoma with squamous differentiation']"
4,ENSG00000113384,ENSG00000113384.14,ENSP00000265070,ENSP00000265070.6,golgi phosphoprotein 3 [Source:HGNC Symbol;Acc:HGNC:15452],5,32124716,32174319,-1,p13.3,GOLPH3,HGNC Symbol,41.09,protein_coding,ensembl_havana,14,6.0,GOPP1,Uterine Carcinosarcoma,Cancer Gene Census,,True,http://purl.obolibrary.org/obo/MONDO_0016259,"['carcinosarcoma of the uterus', 'malignant mixed müllerian tumour of corpus uteri', 'malignant mixed müllerian tumor of corpus uteri', 'uterine carcinosarcoma', 'malignant mixed mesodermal tumor of the uterus', 'malignant mixed mesodermal tumour of the uterine body', 'corpus uteri malignant mixed mesodermal tumor', 'malignant mixed Mullerian tumor of the corpus uteri', 'uterine corpus malignant mixed mesodermal (Müllerian) tumor', 'carcinosarcoma of the uterine body', 'mixed Müllerian sarcoma of uterus', 'malignant mixed mesodermal tumour of uterine body', 'carcinosarcoma of the corpus uteri', 'malignant mixed Müllerian tumor of the corpus uteri', 'malignant mixed mesodermal neoplasm of the uterine body', 'mixed Mullerian cancer of corpus uteri', 'uterine corpus malignant mixed Mullerian neoplasm', 'malignant mixed Mullerian tumour of the corpus uteri', 'uterine corpus malignant mixed mesodermal tumour', 'uterine malignant mixed mesodermal neoplasm', 'corpus uteri malignant mixed mesodermal tumour', 'malignant mixed Müllerian tumour of the corpus uteri', 'uterine mixed Mullerian sarcoma', 'malignant mixed mesodermal neoplasm of the uterine corpus', 'carcinosarcoma of uterine corpus', 'carcinosarcoma of uterine body', 'malignant mixed mesodermal tumor of uterine corpus', 'malignant mixed mesodermal tumor of the uterine corpus', 'uterine corpus malignant mixed Müllerian neoplasm', 'uterine corpus malignant mixed Mullerian tumor', 'uterine malignant mixed mesodermal tumour', 'mixed Mullerian sarcoma of uterus', 'uterine corpus malignant mixed mesodermal (Mullerian) tumour', 'uterine body malignant mixed mesodermal neoplasm', 'mixed Müllerian cancer of corpus uteri', 'mixed Müllerian sarcoma of the uterus', 'uterine body carcinosarcoma', 'malignant mixed mesodermal tumour of the uterine corpus', 'malignant mixed mesodermal tumor of uterine body', 'carcinosarcoma of corpus uteri', 'carcinosarcoma of the uterine corpus', 'body of uterus carcinosarcoma', 'uterine corpus malignant mixed mesodermal neoplasm', 'malignant mixed mesodermal neoplasm of uterine corpus', 'uterine malignant mixed mesodermal tumor', 'malignant mixed mesodermal tumour of the uterus', 'carcinosarcoma of uterus', 'malignant mixed mesodermal neoplasm of uterus', 'uterine corpus malignant mixed mesodermal (Müllerian) tumour', 'uterine corpus malignant mixed mesodermal tumor', 'uterine body malignant mixed mesodermal tumor', 'malignant mixed mesodermal neoplasm of the uterus', 'malignant mixed mesodermal tumor of uterus', 'uterine corpus malignant mixed Mullerian tumour', 'uterine corpus malignant mixed Müllerian tumour', 'uterine corpus malignant mixed mesodermal (Mullerian) tumor', 'malignant mixed mesodermal neoplasm of uterine body', 'malignant mixed mesodermal tumor of the uterine body', 'uterine mixed Müllerian sarcoma', 'malignant mixed mesodermal tumour of uterine corpus', 'uterine corpus malignant mixed Müllerian tumor', 'malignant mixed mesodermal tumour of uterus', 'uterine corpus carcinosarcoma', 'uterine body malignant mixed mesodermal tumour', 'mixed Mullerian sarcoma of the uterus', 'carcinosarcoma of the corpus uteri']"
5,ENSG00000113384,ENSG00000113384.14,ENSP00000265070,ENSP00000265070.6,golgi phosphoprotein 3 [Source:HGNC Symbol;Acc:HGNC:15452],5,32124716,32174319,-1,p13.3,GOLPH3,HGNC Symbol,41.09,protein_coding,ensembl_havana,14,6.0,GOPP1,Acute myeloid leukemia,Cancer Gene Census,,True,http://purl.obolibrary.org/obo/MONDO_0018874,"['leukemia, acute myeloid', 'acute non lymphoblastic leukaemia', 'leukemia, acute myeloid, susceptibility to', 'leukemia, acute myelogenous', 'acute non lymphoblastic leukemia', 'acute myelogenous leukemias', 'acute myelocytic leukaemia', 'acute Nonlymphocytic leukaemia', 'acute myeloid leukaemia (AML)', 'acute nonlymphocytic leukemia', 'leukemia, acute myeloid, somatic', 'acute myeloblastic leukaemia', 'acute nonlymphocytic leukaemia', 'leukemia, myelocytic, acute', 'acute granulocytic leukemia', 'leukemia, acute myeloid, autosomal dominant, somatic mutation', 'leukemia, acute myeloid, reduced survival in, somatic', 'leukemia, acute myeloid, susceptibility to, autosomal dominant, somatic mutation', 'AML', 'hematopoeitic - acute Myleogenous leukaemia (AML)', 'acute myeloid leukemia (AML)', 'myeloid leukemia, acute', 'acute myelocytic leukemia', 'acute myeloblastic leukemia', 'hematopoeitic - acute Myleogenous leukemia (AML)', 'AML - acute myeloid leukaemia', 'acute myelogenous leukaemia', 'ANLL', 'AML - acute myeloid leukemia', 'acute granulocytic leukaemia', 'acute myelogenous leukemia', 'acute myeloid leukemia', 'myeloid leukemia, acute, M4/M4Eo subtype, somatic', 'acute myeloid leukemia, somatic', 'acute Nonlymphocytic leukemia', 'acute myeloid leukemia']"
6,ENSG00000113384,ENSG00000113384.14,ENSP00000265070,ENSP00000265070.6,golgi phosphoprotein 3 [Source:HGNC Symbol;Acc:HGNC:15452],5,32124716,32174319,-1,p13.3,GOLPH3,HGNC Symbol,41.09,protein_coding,ensembl_havana,14,6.0,GOPP1,Anaplastic astrocytoma,Cancer Gene Census,,True,http://purl.obolibrary.org/obo/MONDO_0016684,"['grade III astrocytic tumor', 'anaplastic astrocytoma', 'grade III astrocytoma', 'malignant astrocytoma', 'astrocytoma, anaplastic, malignant', 'grade III astrocytic tumour', 'grade III astrocytic neoplasm', 'anaplastic astrocytoma']"
7,ENSG00000113384,ENSG00000113384.14,ENSP00000265070,ENSP00000265070.6,golgi phosphoprotein 3 [Source:HGNC Symbol;Acc:HGNC:15452],5,32124716,32174319,-1,p13.3,GOLPH3,HGNC Symbol,41.09,protein_coding,ensembl_havana,14,6.0,GOPP1,bile duct carcinoma,Cancer Gene Census,,True,http://purl.obolibrary.org/obo/MONDO_0005496,"['bile duct cancer', 'bile duct cancer (including cholangiocarcinoma)', 'carcinoma of bile duct', 'bile duct carcinoma', 'bile duct carcinoma']"
8,ENSG00000113384,ENSG00000113384.14,ENSP00000265070,ENSP00000265070.6,golgi phosphoprotein 3 [Source:HGNC Symbol;Acc:HGNC:15452],5,32124716,32174319,-1,p13.3,GOLPH3,HGNC Symbol,41.09,protein_coding,ensembl_havana,14,6.0,GOPP1,bladder transitional cell carcinoma,Cancer Gene Census,,True,http://purl.obolibrary.org/obo/MONDO_0005611,"['BLCA', 'urothelial carcinoma of the urinary bladder', 'transitional cell carcinoma of the urinary bladder', 'bladder transitional cell carcinoma', 'transitional cell carcinoma of bladder', 'urinary bladder transitional cell carcinoma', 'urinary bladder urothelial carcinoma', 'bladder urothelial carcinoma', 'bladder urothelial cancer', 'urothelial bladder carcinoma', 'bladder transitional cell carcinoma']"
9,ENSG00000113384,ENSG00000113384.14,ENSP00000265070,ENSP00000265070.6,golgi phosphoprotein 3 [Source:HGNC Symbol;Acc:HGNC:15452],5,32124716,32174319,-1,p13.3,GOLPH3,HGNC Symbol,41.09,protein_coding,ensembl_havana,14,6.0,GOPP1,brain glioblastoma,Cancer Gene Census,,True,http://purl.obolibrary.org/obo/MONDO_0002501,"['glioblastoma multiforme of the brain', 'brain glioblastoma (disease)', 'grade IV brain astrocytic tumor', 'brain glioblastoma', 'grade IV astrocytic tumour of the brain', 'grade IV astrocytic neoplasm of the brain', 'grade IV brain astrocytic tumour', 'glioblastoma (disease) of brain', 'grade IV astrocytic tumour of brain', 'grade IV brain astrocytic neoplasm', 'grade IV astrocytic neoplasm of brain', 'grade IV astrocytic tumor of brain', 'brain glioblastoma multiforme (disease)', 'glioblastoma multiforme of brain', 'grade IV astrocytic tumor of the brain', 'brain glioblastoma multiforme', 'brain glioblastoma']"
10,ENSG00000113384,ENSG00000113384.14,ENSP00000265070,ENSP00000265070.6,golgi phosphoprotein 3 [Source:HGNC Symbol;Acc:HGNC:15452],5,32124716,32174319,-1,p13.3,GOLPH3,HGNC Symbol,41.09,protein_coding,ensembl_havana,14,6.0,GOPP1,Breast carcinoma,Cancer Gene Census,,True,http://purl.obolibrary.org/obo/MONDO_0004989,"['cancer of breast', 'cancer, breast', 'cancer of the breast', 'breast cancer', 'breast cancer, NOS', 'mammary carcinoma', 'carcinoma of breast', 'breast carcinoma', 'carcinoma of the breast', 'breast carcinoma']"
